                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.1333,                0.57709,                 0.9763,                0.75077,                0.68336,                0.71632,                0.38255,                 1.4398,                0.78716,                 1.1581,               0.003455,               0.003455,               0.003455
                    121,                  1.142,                 0.5805,                 0.9811,                0.74977,                0.68154,                0.71437,                0.38323,                 1.4345,                0.78642,                 1.1533,                 0.0034,                 0.0034,                 0.0034
                    122,                 1.1411,                0.58312,                  0.986,                0.75135,                0.67772,                0.71286,                0.38326,                 1.4343,                0.78551,                 1.1536,               0.003345,               0.003345,               0.003345
                    123,                 1.1342,                0.57659,                0.98098,                0.75931,                0.66976,                0.71453,                0.38352,                 1.4364,                0.79007,                 1.1539,                0.00329,                0.00329,                0.00329
                    124,                 1.1266,                0.57129,                0.97716,                0.75225,                0.67652,                0.71501,                0.38298,                 1.4345,                0.78465,                  1.153,               0.003235,               0.003235,               0.003235
                    125,                 1.1305,                0.57427,                0.97809,                0.75634,                0.67109,                0.71451,                 0.3828,                  1.436,                0.78636,                 1.1532,                0.00318,                0.00318,                0.00318
                    126,                 1.1378,                0.57297,                0.97802,                0.75385,                0.67639,                0.71534,                0.38301,                 1.4355,                0.78532,                 1.1509,               0.003125,               0.003125,               0.003125
                    127,                 1.1267,                0.57497,                0.97627,                0.75616,                0.67407,                0.71393,                0.38359,                 1.4351,                0.78642,                 1.1516,                0.00307,                0.00307,                0.00307
                    128,                  1.115,                0.56837,                0.97588,                0.75501,                0.67407,                0.71421,                0.38375,                 1.4377,                0.78661,                 1.1544,               0.003015,               0.003015,               0.003015
                    129,                 1.1223,                0.57047,                0.97643,                0.75805,                0.67275,                0.71511,                0.38351,                 1.4369,                0.78393,                 1.1543,                0.00296,                0.00296,                0.00296
                    130,                 1.1214,                0.57122,                0.97405,                0.75875,                0.67261,                0.71548,                 0.3831,                  1.442,                0.79052,                 1.1571,               0.002905,               0.002905,               0.002905
                    131,                 1.1206,                0.56791,                0.97443,                0.75834,                0.67215,                0.71506,                0.38322,                 1.4433,                0.79327,                 1.1576,                0.00285,                0.00285,                0.00285
                    132,                  1.114,                0.56626,                0.96931,                0.75543,                0.67706,                 0.7171,                0.38372,                 1.4402,                0.79144,                 1.1555,               0.002795,               0.002795,               0.002795
                    133,                 1.1117,                0.56591,                0.96858,                0.75841,                0.67447,                0.71854,                0.38513,                 1.4373,                0.79105,                 1.1534,                0.00274,                0.00274,                0.00274
                    134,                 1.1131,                0.56319,                0.97075,                0.75664,                0.67672,                0.71829,                0.38507,                 1.4354,                0.78967,                 1.1527,               0.002685,               0.002685,               0.002685
                    135,                 1.1053,                 0.5595,                0.96741,                0.75558,                0.67853,                0.71939,                0.38673,                 1.4317,                0.78792,                 1.1502,                0.00263,                0.00263,                0.00263
                    136,                 1.1024,                0.56004,                0.96947,                0.75625,                0.67871,                0.71858,                0.38626,                 1.4328,                0.78975,                 1.1513,               0.002575,               0.002575,               0.002575
                    137,                 1.0968,                0.55434,                0.96716,                0.75877,                0.67871,                0.72118,                 0.3864,                  1.432,                0.79215,                   1.15,                0.00252,                0.00252,                0.00252
                    138,                 1.0971,                0.55398,                0.96824,                0.75745,                0.67971,                0.72044,                0.38643,                 1.4323,                0.79332,                 1.1507,               0.002465,               0.002465,               0.002465
                    139,                 1.0926,                0.55274,                0.96629,                0.75835,                0.67841,                0.72029,                0.38657,                 1.4309,                0.79283,                 1.1511,                0.00241,                0.00241,                0.00241
                    140,                 1.0954,                0.55287,                0.96677,                0.76109,                 0.6754,                0.71955,                0.38607,                  1.432,                0.79393,                 1.1524,               0.002355,               0.002355,               0.002355
                    141,                 1.0952,                0.55209,                0.96364,                0.75977,                0.67672,                0.72064,                0.38683,                 1.4297,                0.79225,                 1.1512,                 0.0023,                 0.0023,                 0.0023
                    142,                 1.0815,                0.54352,                0.96356,                0.76195,                0.67706,                0.72044,                0.38671,                 1.4282,                0.79067,                 1.1503,               0.002245,               0.002245,               0.002245
                    143,                  1.088,                0.54536,                0.96285,                0.76249,                0.67593,                0.71984,                0.38668,                 1.4284,                0.79088,                 1.1497,                0.00219,                0.00219,                0.00219
                    144,                 1.0892,                0.54503,                0.96333,                0.76389,                0.67153,                0.71949,                0.38675,                 1.4285,                0.79066,                 1.1506,               0.002135,               0.002135,               0.002135
                    145,                  1.087,                0.54696,                0.96025,                0.76342,                0.67076,                0.71911,                0.38609,                 1.4277,                0.79042,                 1.1506,                0.00208,                0.00208,                0.00208
                    146,                 1.0816,                0.54497,                0.96394,                0.76042,                0.67374,                0.71874,                0.38574,                 1.4275,                0.78975,                 1.1509,               0.002025,               0.002025,               0.002025
                    147,                 1.0792,                0.54365,                 0.9602,                0.76577,                0.67009,                0.71789,                0.38571,                 1.4295,                0.79204,                 1.1519,                0.00197,                0.00197,                0.00197
                    148,                 1.0738,                0.53857,                0.95742,                0.76771,                0.66844,                0.71865,                0.38593,                 1.4316,                 0.7946,                 1.1536,               0.001915,               0.001915,               0.001915
                    149,                 1.0625,                0.53795,                 0.9601,                0.76814,                0.66711,                 0.7189,                0.38663,                 1.4328,                0.79583,                 1.1544,                0.00186,                0.00186,                0.00186
                    150,                 1.0684,                0.53861,                0.96107,                 0.7676,                0.66976,                0.71985,                0.38657,                 1.4329,                0.79612,                 1.1545,               0.001805,               0.001805,               0.001805
                    151,                 1.0726,                0.53737,                0.95856,                0.76875,                0.67142,                0.72111,                0.38666,                 1.4326,                0.79604,                 1.1545,                0.00175,                0.00175,                0.00175
                    152,                 1.0677,                0.53565,                0.95711,                0.76684,                0.66956,                 0.7185,                0.38682,                 1.4336,                0.79888,                 1.1546,               0.001695,               0.001695,               0.001695
                    153,                 1.0725,                0.53764,                0.95565,                0.76622,                 0.6681,                0.71776,                0.38646,                 1.4344,                0.80086,                 1.1544,                0.00164,                0.00164,                0.00164
